,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
180,0 days 00:17:32.371000,LEC,16,0 days 00:01:51.364000,1.0,1.0,0 days 00:15:45.524000,,0 days 00:00:47.048000,0 days 00:00:20.040000,0 days 00:00:44.276000,0 days 00:16:28.323000,0 days 00:16:48.368000,0 days 00:17:32.575000,253.0,280.0,300.0,181.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:45.524000,2025-03-14 01:31:13.533,1,,False,,False,False
181,0 days 00:18:52.383000,LEC,16,0 days 00:01:20.012000,2.0,1.0,,,0 days 00:00:27.888000,0 days 00:00:17.986000,0 days 00:00:34.138000,0 days 00:18:00.259000,0 days 00:18:18.245000,0 days 00:18:52.383000,282.0,316.0,303.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:32.371000,2025-03-14 01:33:00.380,1,,False,,False,True
182,0 days 00:21:06.362000,LEC,16,0 days 00:02:13.979000,3.0,1.0,,,0 days 00:00:43.490000,0 days 00:00:29.792000,0 days 00:01:00.697000,0 days 00:19:35.873000,0 days 00:20:05.665000,0 days 00:21:06.362000,104.0,158.0,300.0,235.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:18:52.383000,2025-03-14 01:34:20.392,1,,False,,False,True
183,0 days 00:22:24.679000,LEC,16,0 days 00:01:18.317000,4.0,1.0,,,0 days 00:00:27.202000,0 days 00:00:17.780000,0 days 00:00:33.335000,0 days 00:21:33.564000,0 days 00:21:51.344000,0 days 00:22:24.679000,285.0,317.0,303.0,318.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:21:06.362000,2025-03-14 01:36:34.371,1,,False,,False,True
184,0 days 00:24:34.930000,LEC,16,0 days 00:02:10.251000,5.0,1.0,,,0 days 00:00:49.912000,0 days 00:00:30.252000,0 days 00:00:50.087000,0 days 00:23:14.591000,0 days 00:23:44.843000,0 days 00:24:34.930000,160.0,241.0,302.0,251.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:22:24.679000,2025-03-14 01:37:52.688,1,,False,,False,True
185,0 days 00:25:52.810000,LEC,16,0 days 00:01:17.880000,6.0,1.0,,,0 days 00:00:26.876000,0 days 00:00:17.667000,0 days 00:00:33.337000,0 days 00:25:01.806000,0 days 00:25:19.473000,0 days 00:25:52.810000,285.0,316.0,301.0,319.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:24:34.930000,2025-03-14 01:40:02.939,1,,False,,False,True
186,0 days 00:39:06.391000,LEC,16,,7.0,1.0,,0 days 00:27:30.956000,0 days 00:00:35.530000,0 days 00:00:24.619000,,0 days 00:26:28.570000,0 days 00:26:53.190000,,243.0,286.0,,248.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:25:52.810000,2025-03-14 01:41:20.819,15,,False,,False,False
187,0 days 00:41:22.153000,LEC,16,0 days 00:02:15.762000,8.0,2.0,0 days 00:39:37.057000,,0 days 00:01:15.951000,0 days 00:00:19.189000,0 days 00:00:40.622000,0 days 00:40:22.342000,0 days 00:40:41.531000,0 days 00:41:22.153000,256.0,296.0,301.0,78.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:39:37.057000,2025-03-14 01:55:05.066,1,,False,,False,False
188,0 days 00:42:39.995000,LEC,16,0 days 00:01:17.842000,9.0,2.0,,,0 days 00:00:26.947000,0 days 00:00:17.646000,0 days 00:00:33.249000,0 days 00:41:49.100000,0 days 00:42:06.746000,0 days 00:42:39.995000,285.0,313.0,307.0,320.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:41:22.153000,2025-03-14 01:56:50.162,1,,False,,False,True
189,0 days 00:48:40.103000,LEC,16,,10.0,2.0,,0 days 00:44:20.549000,0 days 00:00:39.438000,0 days 00:00:23.523000,,0 days 00:43:19.581000,0 days 00:43:43.112000,,183.0,286.0,,280.0,False,MEDIUM,10.0,False,Ferrari,0 days 00:42:39.995000,2025-03-14 01:58:08.004,12,,False,,False,False
190,0 days 00:50:21.027000,LEC,16,0 days 00:01:40.924000,11.0,3.0,0 days 00:48:42.294000,,0 days 00:00:40.271000,0 days 00:00:20.172000,0 days 00:00:40.481000,0 days 00:49:20.374000,0 days 00:49:40.546000,0 days 00:50:21.027000,255.0,294.0,303.0,179.0,False,SOFT,1.0,True,Ferrari,0 days 00:48:40.103000,2025-03-14 02:04:08.112,1,,False,,False,False
191,0 days 00:51:38.488000,LEC,16,0 days 00:01:17.461000,12.0,3.0,,,0 days 00:00:26.892000,0 days 00:00:17.591000,0 days 00:00:32.978000,0 days 00:50:47.919000,0 days 00:51:05.510000,0 days 00:51:38.488000,286.0,314.0,305.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 00:50:21.027000,2025-03-14 02:05:49.036,1,,False,,False,True
192,0 days 01:04:34.528000,LEC,16,,13.0,3.0,,0 days 00:54:04.255000,,,,,,,,,,252.0,False,SOFT,3.0,True,Ferrari,0 days 00:51:38.488000,2025-03-14 02:07:06.497,15,,False,,False,False
